source_key,status,source_type,url,paper_estrella_use,paper4_use,recommended_action,claim_boundary
tang2024_pyepo,candidate_add_bib,peer_reviewed_software,https://link.springer.com/article/10.1007/s12532-024-00255-x,No direct Paper Estrella claim,SPO/DFL prototype context,add_only_if_prototype_cited,Useful for LP/IP predict-then-optimize prototypes but not champion evidence.
lessmann2015,existing_bib,peer_reviewed,https://www.sciencedirect.com/science/article/pii/S0377221715004208,Credit-scoring benchmark and business-value framing,Empirical credit-risk context,keep_cited,Classification accuracy is not enough; business/economic value must be shown.
jagtiani2019,candidate_add_bib,peer_reviewed,https://ideas.repec.org/a/bla/finmgt/v48y2019i4p1009-1029.html,Lending Club fintech-lending empirical context,Dataset/application context,add_to_paper_estrella_intro,"Lending Club grades and alternative data are contextual evidence, not protected-attribute evidence."
finreglab2023_ml_credit,candidate_add_bib,policy_report,https://finreglab.org/research/explainability-fairness-in-machine-learning-for-credit-underwriting-policy-analysis/,Model-risk and fair-lending governance,Governance appendix context,add_to_governance_discussion,"Policy report supports auditability language, not a statistical theorem."
sr117,existing_bib,official_guidance,https://www.federalreserve.gov/supervisionreg/srletters/sr1107.htm,Model risk management authority,Model governance context,keep_cited,"Use for governance/audit controls, not performance claims."
ifrs9_official,candidate_add_bib,official_standard,https://www.ifrs.org/issued-standards/list-of-standards/ifrs-9-financial-instruments/,No main Paper Estrella claim,IFRS9/SICR appendix authority,add_only_if_ifrs_appendix_cited,Full IFRS 9 ECL requires contractual servicing and macro scenario infrastructure.
basel_ecl_2015,candidate_add_bib,official_guidance,https://www.bis.org/bcbs/publ/d350.htm,No main Paper Estrella claim,ECL governance context,add_only_if_ifrs_appendix_cited,Supervisory ECL guidance does not remove project data blockers.
botha2026,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2501.04975,No main Paper Estrella claim,Survival/lifetime ECL method context,appendix_only,Survival term structures need event timing structure.
barcena2024,existing_bib,peer_reviewed,https://www.sciencedirect.com/science/article/pii/S095741742400472X,No main Paper Estrella claim,Competing-risk ECL method context,appendix_only,Competing-risk methods need event definitions and timing beyond snapshots.
cox1972,existing_bib,peer_reviewed,https://doi.org/10.1111/j.2517-6161.1972.tb00899.x,No main Paper Estrella claim,Survival modeling foundation,keep_if_survival_appendix,Survival framing alone does not create contractual ECL compliance.
ishwaran2008,existing_bib,peer_reviewed,https://doi.org/10.1214/08-AOAS169,No main Paper Estrella claim,Random survival forest option,appendix_only,Use only if survival diagnostics are actually shown.
rockafellar2000_cvar,candidate_add_bib,foundational_paper,https://doi.org/10.21314/JOR.2000.038,Tail-risk challenger appendix,CVaR/OCE lane,add_if_tail_appendix_cited,CVaR improvement does not replace economic champion without paired wealth gains.
bental_teboulle2007_oce,candidate_add_bib,peer_reviewed,https://ideas.repec.org/a/bla/mathfi/v17y2007i3p449-476.html,Tail utility/risk-aversion appendix,CVaR/OCE lane,add_if_oce_text_remains,"OCE is risk-measure framing, not empirical dominance."
cfpb_bisg_proxy,source_log_only,official_methodology,https://github.com/cfpb/proxy-methodology,No main Paper Estrella claim,Fair-lending proxy boundary,add_if_proxy_appendix_cited,BISG needs surname and geography; zip3/state alone is insufficient.
zhang2018_fair_proxy,source_log_only,peer_reviewed,https://pubsonline.informs.org/doi/10.1287/mnsc.2016.2579,No main Paper Estrella claim,Fair-lending proxy method context,add_if_proxy_appendix_cited,Proxy race/ethnicity methods require inputs absent from Lending Club data.
cpfairness2025,existing_bib,peer_reviewed_preprint,https://arxiv.org/html/2410.01888,Conformal-fairness caveat,Fairness/proxy appendix,appendix_only,Conformal set behavior can have fairness implications but does not establish legal compliance.
dowhy2020,existing_bib,research_software_paper,https://arxiv.org/abs/2011.04216,No main Paper Estrella claim,CATE identification/refutation context,appendix_only,Causal graphs and refutations are required before treatment-effect claims.
dowhy_assumptions_2021,source_log_only,research_workshop_paper,https://www.microsoft.com/en-us/research/publication/dowhy-addressing-challenges-in-expressing-and-validating-causal-assumptions/,No main Paper Estrella claim,CATE boundary context,appendix_only,Assumption validation is partial; no global validator exists for causal estimates.
chernozhukov2018,existing_bib,peer_reviewed,https://doi.org/10.1111/ectj.12097,No main Paper Estrella claim,DML sensitivity context,appendix_only,DML still assumes observed-confounder identification.
athey2019,existing_bib,peer_reviewed,https://doi.org/10.1214/18-AOS1709,No main Paper Estrella claim,Causal forest sensitivity context,appendix_only,CATE estimates are not policy value without identification and counterfactual support.
powell2026sdam,existing_bib,book_or_manuscript,https://castlelab.princeton.edu/sdam/,Sequential decision framing,DLA/ADP lane framing,keep_as_framing,SDAM framing does not imply exact dynamic programming with snapshot-only data.
powell2022rlso,existing_bib,book_or_manuscript,https://castlelab.princeton.edu/,No main Paper Estrella claim,ADP/RLSO context,appendix_only,Rollout value is descriptive without transition and action logs.
multi_source_conformal_2024,source_log_only,preprint,https://arxiv.org/abs/2405.09331,No main Paper Estrella claim,Online/source conformal context,appendix_only,Multi-source methods need a defensible source-shift setup.
yang2026_multidistribution,existing_bib,peer_reviewed_preprint,https://arxiv.org/abs/2601.02998,Future robustness context,Source-family conformal context,appendix_only,Multi-distribution robustness is relevant only if source families are explicit and stable.
