file_path_v423,surface_v423,rule_code_v423,message_v423,row_v423,column_v423,fixable_v423,claim_boundary_v423
scripts/papers/build_paper4_v13_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,170,45,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v15_dynamic_stress_engine.py,scripts,B007,Loop control variable `policy_id` not used within loop body,711,9,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v15_dynamic_stress_engine.py,scripts,B007,Loop control variable `path_id` not used within loop body,712,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v20_dla_cvar_spo_resolution.py,scripts,B007,Loop control variable `month` not used within loop body,115,9,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v24_dla_cvar_spo_upgrade.py,scripts,B007,Loop control variable `month` not used within loop body,113,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v398_notebook_historical_e402_policy.py,scripts,F401,`collections.Counter` imported but unused,8,25,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v399_notebook_e402_cell_refactor_plan.py,scripts,F401,`pathlib.Path` imported but unused,9,21,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v39_v40_living_lab_execution.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,455,17,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v406_post_sys_path_refactor_pytest_probe.py,scripts,F401,`scripts.papers.paper4_one_swap_living_lab.ROOT` imported but unused,21,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,121,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,SIM108,Use ternary operator `prior = support_choices.iloc[0] if candidates.empty else candidates.iloc[0]` instead of `if`-`else`-block,203,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,B023,Function definition does not bind loop variable `total_exposure`,323,54,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,B023,Function definition does not bind loop variable `total_exposure`,323,72,False,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,SIM223,Use `False` instead of `... and False`,712,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,F841,Local variable `spo` is assigned to but never used,1034,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_online_cvar_source_solver.py,scripts,I001,Import block is un-sorted or un-formatted,4,1,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,119,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,B007,Loop control variable `month` not used within loop body,544,9,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,B007,Loop control variable `month` not used within loop body,611,17,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,F841,Local variable `spo` is assigned to but never used,1161,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,F841,Local variable `dla` is assigned to but never used,1162,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v46_spo_dla_dynamic.py,scripts,I001,Import block is un-sorted or un-formatted,4,1,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v47_ifrs9_cate_fairness_paths.py,scripts,I001,Import block is un-sorted or un-formatted,4,1,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v48_registry_docs_guardrails.py,scripts,I001,Import block is un-sorted or un-formatted,4,1,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v55_unlock_loop.py,scripts,F841,Local variable `allocations` is assigned to but never used,1023,5,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v5_blocker_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,401,25,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v5_blocker_resolution.py,scripts,B007,Loop control variable `scenario` not used within loop body,573,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v6_priority_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,323,14,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v6_priority_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,328,13,True,repository ruff diagnostic inventory only
scripts/papers/build_paper4_v7_resolution_loop.py,scripts,F841,Local variable `all_alloc` is assigned to but never used,675,5,True,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,13,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,14,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,15,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,16,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,18,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,19,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,20,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,26,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,27,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/causal_intelligence.py,streamlit_app,E402,Module level import not at top of file,28,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,13,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,14,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,16,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,17,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,18,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,19,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,21,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,22,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,23,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,28,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,34,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,35,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/data_story.py,streamlit_app,E402,Module level import not at top of file,36,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,14,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,15,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,16,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,17,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,18,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,20,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,21,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,26,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,27,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,28,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,29,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,37,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,38,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,E402,Module level import not at top of file,39,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),126,57,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),126,76,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),217,20,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),271,22,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),285,18,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,522,22,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,720,41,True,repository ruff diagnostic inventory only
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,837,35,True,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,13,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,14,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,15,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,16,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,18,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,23,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,24,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,25,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,26,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,27,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,34,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,35,1,False,repository ruff diagnostic inventory only
streamlit_app/pages/portfolio_optimizer.py,streamlit_app,E402,Module level import not at top of file,36,1,False,repository ruff diagnostic inventory only
