file_path_v424,surface_v424,rule_code_v424,message_v424,row_v424,fixable_v424,claim_boundary_v424
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B023,Function definition does not bind loop variable `policy_id`,1514,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v12_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,1535,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v13_resolution_wave.py,scripts,B905,`zip()` without an explicit `strict=` parameter,170,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v15_dynamic_stress_engine.py,scripts,B007,Loop control variable `policy_id` not used within loop body,711,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v15_dynamic_stress_engine.py,scripts,B007,Loop control variable `path_id` not used within loop body,712,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v20_dla_cvar_spo_resolution.py,scripts,B007,Loop control variable `month` not used within loop body,115,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v24_dla_cvar_spo_upgrade.py,scripts,B007,Loop control variable `month` not used within loop body,113,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v398_notebook_historical_e402_policy.py,scripts,F401,`collections.Counter` imported but unused,8,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v399_notebook_e402_cell_refactor_plan.py,scripts,F401,`pathlib.Path` imported but unused,9,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v39_v40_living_lab_execution.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,455,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v406_post_sys_path_refactor_pytest_probe.py,scripts,F401,`scripts.papers.paper4_one_swap_living_lab.ROOT` imported but unused,21,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,121,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,SIM108,Use ternary operator `prior = support_choices.iloc[0] if candidates.empty else candidates.iloc[0]` instead of `if`-`else`-block,203,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,B023,Function definition does not bind loop variable `total_exposure`,323,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,B023,Function definition does not bind loop variable `total_exposure`,323,False,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,SIM223,Use `False` instead of `... and False`,712,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v41_v44_living_lab_wave.py,scripts,F841,Local variable `spo` is assigned to but never used,1034,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_online_cvar_source_solver.py,scripts,I001,Import block is un-sorted or un-formatted,4,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,UP022,Prefer `capture_output` over sending `stdout` and `stderr` to `PIPE`,119,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,B007,Loop control variable `month` not used within loop body,544,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,B007,Loop control variable `month` not used within loop body,611,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,F841,Local variable `spo` is assigned to but never used,1161,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v45_v48_living_lab_wave.py,scripts,F841,Local variable `dla` is assigned to but never used,1162,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v46_spo_dla_dynamic.py,scripts,I001,Import block is un-sorted or un-formatted,4,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v47_ifrs9_cate_fairness_paths.py,scripts,I001,Import block is un-sorted or un-formatted,4,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v48_registry_docs_guardrails.py,scripts,I001,Import block is un-sorted or un-formatted,4,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v55_unlock_loop.py,scripts,F841,Local variable `allocations` is assigned to but never used,1023,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v5_blocker_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,401,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v5_blocker_resolution.py,scripts,B007,Loop control variable `scenario` not used within loop body,573,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v6_priority_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,323,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v6_priority_resolution.py,scripts,B905,`zip()` without an explicit `strict=` parameter,328,True,post-repair repository ruff diagnostic inventory
scripts/papers/build_paper4_v7_resolution_loop.py,scripts,F841,Local variable `all_alloc` is assigned to but never used,675,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),127,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),127,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),218,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),272,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,C408,Unnecessary `dict()` call (rewrite as a literal),286,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,523,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,721,True,post-repair repository ruff diagnostic inventory
streamlit_app/pages/model_interpretability.py,streamlit_app,B905,`zip()` without an explicit `strict=` parameter,838,True,post-repair repository ruff diagnostic inventory
