artifact,suffix,bytes,paper4_layer,exists
reports/paper_material/paper4/tables/paper4_online_conformal_grade_replay.parquet,.parquet,15241,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_online_conformal_intervals.parquet,.parquet,6179655,v2_priorities,True
reports/paper_material/paper4/tables/paper4_online_conformal_policy_replay.parquet,.parquet,17398,v2_priorities,True
reports/paper_material/paper4/tables/paper4_overlap_policy_funded_sets.csv,.csv,1062,v2_priorities,True
reports/paper_material/paper4/tables/paper4_policy_class_registry.csv,.csv,18837,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_funded_set_composition.csv,.csv,121378,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_level_evidence.parquet,.parquet,24804,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_loan_level_evidence.parquet,.parquet,257471,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_loan_matrix.parquet,.parquet,81119,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_pairwise_bootstrap_ci.csv,.csv,9355,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_policy_universe.csv,.csv,18058,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_regret_auditability_frontier.csv,.csv,1734,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_regret_auditability_pareto_v2.csv,.csv,6155,v2_priorities,True
reports/paper_material/paper4/tables/paper4_regret_auditability_replay_v2.parquet,.parquet,29854,v2_priorities,True
reports/paper_material/paper4/tables/paper4_return_ecl_tail_frontier.csv,.csv,9361,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_robust_satisficing_policy_eval.csv,.csv,7207,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_selector_v2_results.csv,.csv,36762,v2_priorities,True
reports/paper_material/paper4/tables/paper4_sicr_rule_comparison.csv,.csv,51514,v2_priorities,True
reports/paper_material/paper4/tables/paper4_source_segment_registry.csv,.csv,161293,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_spo_crpto_hybrid_results.csv,.csv,2494,v2_priorities,True
reports/paper_material/paper4/tables/paper4_state_transition_toy.parquet,.parquet,13696,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table0_source_manifest.csv,.csv,1724,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table10_policy_pairwise_differences.csv,.csv,10035,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table12_ifrs9_policy_full_eval.csv,.csv,32536,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table13_monthly_policy_replay_summary.csv,.csv,6654,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table14_ifrs9_tail_satisficing_selector.csv,.csv,34932,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table1_policy_ecl_scenario.csv,.csv,32275,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table2_net_return_after_ecl.csv,.csv,10532,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table3_tail_risk_oce_cvar_by_policy.csv,.csv,30701,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table4_satisficing_screen.csv,.csv,35614,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table5_temporal_replay_summary.csv,.csv,6646,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table6_insights_factory_signal_registry.csv,.csv,4808,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table7_research_lane_readiness.csv,.csv,1028,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table8_insight_to_policy_join_contract.csv,.csv,1178,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_table9_policy_class_registry.csv,.csv,18837,foundation_or_prior,True
reports/paper_material/paper4/tables/paper4_tail_risk_selector_results.csv,.csv,39615,v2_priorities,True
reports/paper_material/paper4/tables/paper4_v2_policy_loan_evidence.parquet,.parquet,257652,v2_priorities,True
