artifact,source_paper,role,status,run_tag,caveat,path_exists
reports/paper_material/paper4/tables/paper4_common_sample_path_pairwise_ci.csv,Paper 4 v4,common sample paths paired confidence intervals,implemented,paper4_v4_open_priorities_2026-05-13,Simulated paths; not observed future performance.,True
reports/paper_material/paper4/status/paper4_v4_working_champion.json,Paper 4 v4,Paper 4 internal working champion declaration,implemented,paper4_v4_open_priorities_2026-05-13,Scope is Paper 4 only; does not modify Paper Estrella.,True
reports/paper_material/paper4/status/paper4_v4_open_priorities_status.json,Paper 4 v4,v4 open priorities run status,implemented,paper4_v4_open_priorities_2026-05-13,Documents 11 priorities and generated figures.,True
reports/paper_material/paper4/tables/paper4_v5_online_source_month_search.csv,Paper 4 v5,Online source-month,implemented_guard_search,paper4_v5_blocker_resolution_2026-05-13,guarded search can pass coverage by using wider intervals,True
reports/paper_material/paper4/tables/paper4_v5_ifrs9_servicing_panel.parquet,Paper 4 v5,IFRS9 servicing proxy,implemented_monthly_panel_proxy,paper4_v5_blocker_resolution_2026-05-13,not a true external servicing ledger,True
reports/paper_material/paper4/tables/paper4_v5_sicr_rule_comparison.csv,Paper 4 v5,SICR defendible,implemented_rule_comparison,paper4_v5_blocker_resolution_2026-05-13,"rules are defensible proxies, not audited accounting policy",True
reports/paper_material/paper4/tables/paper4_v5_cvar_topk_expanded_frontier.csv,Paper 4 v5,CVaR top-k expanded,implemented_policy_set_cvar,paper4_v5_blocker_resolution_2026-05-13,"expanded policy-set evaluation, not full LP",True
reports/paper_material/paper4/tables/paper4_v5_mdcp_aware_search.csv,Paper 4 v5,MDCP-aware search,implemented_selector_objective,paper4_v5_blocker_resolution_2026-05-13,uses existing allocations rather than solving new MDCP-constrained LP,True
reports/paper_material/paper4/tables/paper4_v5_selector_committee_memo.csv,Paper 4 v5,Selector committee,implemented_protocol,paper4_v5_blocker_resolution_2026-05-13,committee thresholds remain project governance,True
reports/paper_material/paper4/tables/paper4_v5_dla_endogenous_policy_trace.csv,Paper 4 v5,SDAM/DLA v5,implemented_action_library_dla,paper4_v5_blocker_resolution_2026-05-13,"DLA over action library, not full Bellman solve",True
reports/paper_material/paper4/tables/paper4_v5_causal_falsification_tests.csv,Paper 4 v5,Causal/CATE,implemented_falsification_pack,paper4_v5_blocker_resolution_2026-05-13,CATE remains blocked for policy value,True
reports/paper_material/paper4/tables/paper4_v5_fairness_protocol_decision.csv,Paper 4 v5,Fairness,implemented_protocol_decision,paper4_v5_blocker_resolution_2026-05-13,no protected-attribute legal claim,True
reports/paper_material/paper4/tables/paper4_v5_correlated_sample_path_ci.csv,Paper 4 v5,Correlated sample paths,implemented_macro_correlated_paths,paper4_v5_blocker_resolution_2026-05-13,simulated macro/grade/month shocks,True
reports/paper_material/paper4/tables/paper4_v5_spo_dfl_hybrid_screen.csv,Paper 4 v5,SPO/DFL hybrids,implemented_design_screen,paper4_v5_blocker_resolution_2026-05-13,training still future work,True
reports/paper_material/paper4/tables/paper4_v5_temporal_ecl_downstream_value.csv,Paper 4 v5,Temporal TS/ECL,implemented_downstream_screen,paper4_v5_blocker_resolution_2026-05-13,research-only TS intervals,True
reports/paper_material/paper4/tables/paper4_v5_cqr_decision_aware_screen.csv,Paper 4 v5,CQR decision-aware,implemented_comparator_screen,paper4_v5_blocker_resolution_2026-05-13,comparator remains blocked unless coverage/width/eligibility improve,True
reports/paper_material/paper4/tables/paper4_v6_online_source_month_efficiency_search.csv,Paper 4 v6,Online efficient source-month,implemented_with_audit_oracle_and_deployable_screen,paper4_v6_priority_resolution_2026-05-13,deployable method may still fail; oracle rows are not promotion eligible,True
reports/paper_material/paper4/tables/paper4_v6_sicr_calibration_grid.csv,Paper 4 v6,SICR recalibration,implemented_rule_grid,paper4_v6_priority_resolution_2026-05-13,"MRM candidate, not audited accounting policy",True
reports/paper_material/paper4/tables/paper4_v6_contractual_data_audit.csv,Paper 4 v6,Contractual IFRS9 data,implemented_readiness_audit,paper4_v6_priority_resolution_2026-05-13,current data is proxy-only for full servicing,True
reports/paper_material/paper4/tables/paper4_v6_mdcp_solver_summary.csv,Paper 4 v6,MDCP inside solver,implemented_linear_constraint_proxy,paper4_v6_priority_resolution_2026-05-13,"source/width proxy inside LP, not theorem-level MDCP guarantee",True
reports/paper_material/paper4/tables/paper4_v6_cvar_constraint_summary.csv,Paper 4 v6,CVaR constraint expanded,implemented_topk_constraint_lp,paper4_v6_priority_resolution_2026-05-13,"top-k expanded pool, not 276k full LP",True
reports/paper_material/paper4/tables/paper4_v6_dla_loan_level_summary.csv,Paper 4 v6,Endogenous DLA,implemented_loan_level_monthly_proxy,paper4_v6_priority_resolution_2026-05-13,not full Bellman/ADP,True
reports/paper_material/paper4/tables/paper4_v6_correlated_sample_path_ci.csv,Paper 4 v6,Realistic sample paths,implemented_correlated_cycle_paths,paper4_v6_priority_resolution_2026-05-13,"simulation for paired comparison, not forecast",True
reports/paper_material/paper4/tables/paper4_v6_cate_gate.csv,Paper 4 v6,CATE gate,implemented_blocker_screen,paper4_v6_priority_resolution_2026-05-13,policy value remains blocked,True
reports/paper_material/paper4/tables/paper4_v6_fairness_protocol.csv,Paper 4 v6,Fairness governance,implemented_no_legal_claim_protocol,paper4_v6_priority_resolution_2026-05-13,proxy governance only,True
reports/paper_material/paper4/tables/paper4_v6_spo_dfl_hybrid_summary.csv,Paper 4 v6,SPO/DFL hybrids,implemented_constrained_surrogate,paper4_v6_priority_resolution_2026-05-13,"surrogate LP, not trained neural DFL",True
reports/paper_material/paper4/tables/paper4_v7_online_deployable_weak_cell_search.csv,Paper 4 v7,Online source-month resolution,implemented_deployable_support_pooling_search,paper4_v7_resolution_loop_2026-05-13,passes defended 0.80 gate only with costly width; no promotion,True
reports/paper_material/paper4/tables/paper4_v7_online_deployable_intervals.parquet,Paper 4 v7,Online selected intervals,implemented_selected_deployable_methods,paper4_v7_resolution_loop_2026-05-13,selected reference plus best defended method,True
reports/paper_material/paper4/tables/paper4_v7_mdcp_soft_penalty_solver_summary.csv,Paper 4 v7,MDCP-aware solver,implemented_soft_penalty_inside_lp,paper4_v7_resolution_loop_2026-05-13,"proxy MDCP, not formal multidimensional conformal theorem",True
reports/paper_material/paper4/tables/paper4_v7_cvar_adaptive_frontier.csv,Paper 4 v7,CVaR adaptive frontier,implemented_expanded_topk_constraint,paper4_v7_resolution_loop_2026-05-13,"top-k expanded, not full 276k decomposition",True
reports/paper_material/paper4/tables/paper4_v7_sicr_mrm_shortlist.csv,Paper 4 v7,SICR MRM shortlist,implemented_committee_shortlist,paper4_v7_resolution_loop_2026-05-13,accounting policy still proxy-only,True
reports/paper_material/paper4/tables/paper4_v7_ifrs9_contractual_build_plan.csv,Paper 4 v7,IFRS9 contractual plan,implemented_gap_action_plan,paper4_v7_resolution_loop_2026-05-13,true servicing panel remains blocker,True
reports/paper_material/paper4/tables/paper4_v7_dla_capital_state_summary.csv,Paper 4 v7,DLA endogenous capital state,implemented_dynamic_proxy,paper4_v7_resolution_loop_2026-05-13,not Bellman-optimal ADP,True
reports/paper_material/paper4/tables/paper4_v7_sample_path_calibration_grid.csv,Paper 4 v7,Sample paths calibration,implemented_calibration_registry,paper4_v7_resolution_loop_2026-05-13,"simulation for paired comparison, not forecast",True
reports/paper_material/paper4/tables/paper4_v7_causal_fairness_blocker_matrix.csv,Paper 4 v7,CATE and fairness gates,implemented_blocker_matrix,paper4_v7_resolution_loop_2026-05-13,policy value and legal fairness claims remain blocked,True
reports/paper_material/paper4/tables/paper4_v7_hybrid_solver_candidate_registry.csv,Paper 4 v7,Hybrid candidate registry,implemented_surrogate_registry,paper4_v7_resolution_loop_2026-05-13,"surrogate LP/hybrid registry, not neural SPO+/DFL training",True
reports/paper_material/paper4/status/paper4_v7_resolution_status.json,Paper 4 v7,V7 status,implemented_living_lab_status,paper4_v7_resolution_loop_2026-05-13,no final promotion json,True
reports/paper_material/paper4/tables/paper4_v8_literature_to_method_registry.csv,Paper 4 v8,Literature registry,implemented_primary_source_mapping,paper4_v8_resolution_wave_2026-05-13,"primary sources inform method design, not publication claims",True
reports/paper_material/paper4/tables/paper4_v8_online_efficiency_frontier.csv,Paper 4 v8,Online efficiency frontier,implemented_micro_iteration,paper4_v8_resolution_wave_2026-05-13,promotion still blocked if width > 0.95,True
reports/paper_material/paper4/tables/paper4_v8_online_breakpoint_report.csv,Paper 4 v8,Online breakpoint report,implemented_breakpoint_diagnostic,paper4_v8_resolution_wave_2026-05-13,shows closest pass/fail boundary,True
reports/paper_material/paper4/tables/paper4_v8_cvar_bisection_frontier.csv,Paper 4 v8,CVaR bisection frontier,implemented_active_cap_search,paper4_v8_resolution_wave_2026-05-13,"top-k/local-pool, not full-universe decomposition",True
reports/paper_material/paper4/tables/paper4_v8_mdcp_family_cap_solver_summary.csv,Paper 4 v8,MDCP family-cap solver,implemented_family_caps_inside_lp,paper4_v8_resolution_wave_2026-05-13,family caps are governance proxies,True
reports/paper_material/paper4/tables/paper4_v8_selector_governance_results.csv,Paper 4 v8,Selector governance v8,implemented_committee_memo,paper4_v8_resolution_wave_2026-05-13,no final promotion JSON,True
reports/paper_material/paper4/tables/paper4_v8_dla_value_function_summary.csv,Paper 4 v8,DLA value-function proxy,implemented_dynamic_vs_static_comparison,paper4_v8_resolution_wave_2026-05-13,not Bellman-optimal ADP,True
reports/paper_material/paper4/tables/paper4_v8_causal_dossier.csv,Paper 4 v8,Causal dossier v8,implemented_stronger_blocker_dossier,paper4_v8_resolution_wave_2026-05-13,CATE policy value remains blocked,True
reports/paper_material/paper4/tables/paper4_v8_fairness_permanent_proxy_protocol.csv,Paper 4 v8,Fairness protocol v8,implemented_permanent_proxy_only_protocol,paper4_v8_resolution_wave_2026-05-13,no fair-lending legal claim,True
reports/paper_material/paper4/tables/paper4_v8_dfl_surrogate_training.csv,Paper 4 v8,DFL surrogate v8,implemented_transparent_decision_loss_surrogate,paper4_v8_resolution_wave_2026-05-13,not neural SPO+/DFL,True
reports/paper_material/paper4/tables/paper4_v8_blocker_dashboard.csv,Paper 4 v8,Blocker dashboard,implemented_live_blocker_dashboard,paper4_v8_resolution_wave_2026-05-13,"status is living-lab, not final publication decision",True
reports/paper_material/paper4/tables/paper4_v8_v6_v7_change_report.csv,Paper 4 v8,Change report v6-v7-v8,implemented_automated_change_report,paper4_v8_resolution_wave_2026-05-13,compares status JSONs only,True
reports/paper_material/paper4/status/paper4_v8_resolution_status.json,Paper 4 v8,V8 status,implemented_living_lab_status,paper4_v8_resolution_wave_2026-05-13,Paper Estrella frozen,True
