source_family,method_v57,min_support_v57,global_delta_v57,small_cell_bonus_v57,source_month_defended_min_v57,policy_month_defended_min_v57,avg_width_loan_v57,n_defended_source_cells_v57,n_defended_policy_cells_v57,gate_source80_policy90_width95_v57,strict_live_deployability_claim_allowed,claim_boundary_v57,repair_decision_v57
grade,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,99,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,33,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,33,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,33,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,33,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,33,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,33,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,33,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,33,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,33,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,33,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
period,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,33,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,38,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,38,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,38,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,38,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,38,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,38,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,38,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,38,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,38,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,38,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
term,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,38,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.5,0.6666666666666666,0.9643399634008428,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.5483870967741935,0.6666666666666666,0.9750057603528103,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.5483870967741935,0.6666666666666666,0.9835264575164527,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.5,0.6666666666666666,0.9643399634008428,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.5483870967741935,0.6666666666666666,0.9750057603528103,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.5483870967741935,0.6666666666666666,0.9835264575164527,110,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,110,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,110,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.5,0.6666666666666666,0.9643399634008428,110,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.5483870967741935,0.6666666666666666,0.9750057603528103,110,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.5483870967741935,0.6666666666666666,0.9835264575164527,110,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,110,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,110,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.5,0.6666666666666666,0.9643399634008428,110,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.5483870967741935,0.6666666666666666,0.9750057603528103,110,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
score_decile,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.5483870967741935,0.6666666666666666,0.9835264575164527,110,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,237,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,237,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,237,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,237,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,237,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,237,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,237,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,237,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,237,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,237,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
state_top20,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,237,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,108,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.0,0.6666666666666666,0.9405364369624554,108,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.0,0.6666666666666666,0.952799232454825,108,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.0,0.6666666666666666,0.9643399634008428,108,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.0,0.6666666666666666,0.9750057603528103,108,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.0,0.6666666666666666,0.9835264575164527,108,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.0,0.6666666666666666,0.9405387863795064,107,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.0,0.6666666666666666,0.9528015818718758,107,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.0,0.6666666666666666,0.9643422757494488,107,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.0,0.6666666666666666,0.9750075102212125,107,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
income_band,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.0,0.6666666666666666,0.9835274662738559,107,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,3,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,3,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,3,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,3,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,3,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,10,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,10,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,10,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,10,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,10,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,115,3220,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,20,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,115,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,20,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,115,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,20,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,115,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,20,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,115,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,20,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,115,2885,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,40,0.0,0.04,0.7254901960784313,0.6666666666666666,0.9405364369624554,115,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,40,0.02,0.04,0.7254901960784313,0.6666666666666666,0.952799232454825,115,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,40,0.04,0.04,0.7254901960784313,0.6666666666666666,0.9643399634008428,115,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,40,0.06,0.04,0.7254901960784313,0.6666666666666666,0.9750057603528103,115,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
dti_band,direct_hierarchical_qhat_bonus,40,0.08,0.04,0.7254901960784313,0.6666666666666666,0.9835264575164527,115,2840,False,False,historical direct source-family qhat search; no live deployability claim,near_resolved_with_plateau
