n,activity_id,post_url,title,relevance,theme,summary_es,tesis_use,attachment_type,external_links,short_snippet_under_25_words
11,7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,On Credit: Scoring Foundations in the Age of AI is Live,Alta,Libro On Credit,"Anuncio del libro con cuatro bloques: WOE, logistic regression, deep learning/AI y credit game/explainability.",Bibliografia y narrativa de fundamentos para capitulo metodologico.,Image/carousel,Naeem Siddiqi: https://www.linkedin.com/in/naeem-siddiqi-9442815/ | Agus Sudjianto: https://www.linkedin.com/in/agus-sudjianto-76519619/ | https://lnkd.in/dtNUi5FW: https://lnkd.in/dtNUi5FW | https://lnkd.in/d4GaNKUA: https://lnkd.in/d4GaNKUA | https://lnkd.in/dKE92dwU: https://lnkd.in/dKE92dwU,On Credit: Scoring Foundations in the Age of AI is Live This book traces the mathematical lineage connecting Alan Turing's
12,7431246513466609664,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,"Excited to share an update on my book, releasing March 1st as a color paperback!",Alta,Codigo y libro On Credit,Preview del libro y codigo/notebooks asociados.,Revisar notebooks externos como inspiracion para notebooks 02-03.,Image/carousel,https://lnkd.in/daK5nfYM: https://lnkd.in/daK5nfYM,"Excited to share an update on my book, releasing March 1st as a color paperback! I just received my proof copy and"
13,7429434643583725571,https://www.linkedin.com/feed/update/urn:li:activity:7429434643583725571/,You'll often see claims that Gini score isn't suitable for imbalanced problems.,Alta,Gini en datos desbalanceados,"Defiende Gini/CAP como metrica natural en default rate bajo, ajustada por la restriccion de DR.",Notebook 03: explicar por que Gini/AUC siguen siendo validos con 12% default rate.,Image/carousel,,You'll often see claims that Gini score isn't suitable for imbalanced problems. Credit risk problems are imbalanced by nature (if your default
14,7426897722655277074,https://www.linkedin.com/feed/update/urn:li:activity:7426897722655277074/,Loss Given Default (LGD) is a key risk parameter that determines credit loss.,Alta,LGD probabilistico,Propone modelar LGD por bins cuantiles con clasificador multiclass para obtener distribucion condicional.,src/models/lgd_model.py: extension a LGD probabilistico e intervalos para IFRS9.,LinkedIn document/deck,,"Loss Given Default (LGD) is a key risk parameter that determines credit loss. It is central to regulatory capital, loan pricing, and"
15,7423998736009375745,https://www.linkedin.com/feed/update/urn:li:activity:7423998736009375745/,Whats a Gini point worth? Some thoughts on model economics,Alta,Valor economico de Gini,"Conecta Gini con outcomes de negocio bajo escenarios de apetito de riesgo fijo, volumen fijo y pricing.",Notebook 08: puente entre PD ranking y optimizacion de cartera.,Image/carousel,,Whats a Gini point worth? Some thoughts on model economics A common view is that the Gini score of a credit
16,7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,Credit Risk Modeling on AWS,Alta,MLOps credit risk en AWS,"MLflow + SageMaker para tracking, versionado y artefactos con dataset HELOC; desarrollo local con LocalStack.",Proyecto local/DagsHub: patrones de MLflow reproducible y tracking de artefactos.,LinkedIn document/deck,MLflow: https://www.linkedin.com/company/mlflow-org/ | Amazon SageMaker: https://www.linkedin.com/company/amazon-sagemaker/ | Amazon Web Services (AWS): https://www.linkedin.com/company/amazon-web-services/ | LocalStack: https://www.linkedin.com/company/localstack-cloud/ | https://lnkd.in/d3itQCBi: https://lnkd.in/d3itQCBi,Credit Risk Modeling on AWS New chapter: MLflow experiment tracking with Amazon SageMaker MLflow was integrated with SageMaker in June
17,7421223494132314112,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,Had an amazing Sunday attending Cafe Cursor in Berlin,Media,Testing estadistico/A-B,Fisher exact test aplicado a pequenos experimentos como loan take-up rates.,Backtesting/politicas: pruebas pequenas de take-up o aprobacion.,Image/carousel,Cursor: https://www.linkedin.com/company/cursorai/,"Had an amazing Sunday attending Cafe Cursor in Berlin What keeps striking me these days: while LinkedIn is full of ""AI"
18,7419287581689008128,https://www.linkedin.com/feed/update/urn:li:activity:7419287581689008128/,Credit Risk Modeling on AWS,Alta,AWS/credit risk guide,"Capitulo de guia Credit Risk Modeling on AWS, probablemente complementario a MLflow/SageMaker.",Referencia MLOps para API/dashboard y despliegue futuro.,LinkedIn document/deck,https://lnkd.in/d3itQCBi: https://lnkd.in/d3itQCBi,"Credit Risk Modeling on AWS New chapter on batch scoring and credit limit management, a core workflow for anyone managing"
19,7417475730277670912,https://www.linkedin.com/feed/update/urn:li:activity:7417475730277670912/,Milk or tea first?,Media,Fisher exact test,P-values y prueba exacta de Fisher para muestras pequenas; ejemplo adaptable a loan take-up.,Evaluacion de cambios de politica con muestras pequenas.,Image/carousel,,"Milk or tea first? Extreme-value probabilities, known as p-values, have a notorious reputation. But the way they originally emerged tells a different"
20,7416750932140552192,https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,"There are plenty of Python data science tools, but very few are built specifically for credit risk modeling.",Alta,FastWoe,"Paquete Python para WOE con incertidumbre, Somers D/Gini, CAP y tablas interpretables.",Comparar con OptBinning en notebook 02; usar ideas de CAP/Somers en evaluation.,LinkedIn document/deck,https://lnkd.in/dFgQAEWG: https://lnkd.in/dFgQAEWG,"There are plenty of Python data science tools, but very few are built specifically for credit risk modeling. FastWoe focuses on what"
21,7413851823381598208,https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,Credit Risk Modeling on AWS,Alta,Credit Risk Modeling on AWS,"Guia practica con Docker, LocalStack y SageMaker para scoring y despliegue sin costo cloud.",Fase futura de API/MLOps; patrones reproducibles.,Image/carousel,"Docker, Inc: https://www.linkedin.com/company/docker/ | LocalStack: https://www.linkedin.com/company/localstack-cloud/ | Amazon SageMaker: https://www.linkedin.com/company/amazon-sagemaker/ | https://lnkd.in/d3itQCBi: https://lnkd.in/d3itQCBi","Credit Risk Modeling on AWS We're back, this time with updates to the practitioner's guide to Credit Risk Modeling on"
22,7410227928887783424,https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,The Credit Game: Machine Learning and Explainability,Alta,SHAP y scorecards,"Capitulo sobre Breiman, ensembles, TreeSHAP, SHAP scorecards y distillation.",Notebook 03: SHAP summary/dependence; explicabilidad para CatBoost.,LinkedIn document/deck,,"The Credit Game: Machine Learning and Explainability In earlier chapters, we explored foundational figures like Alan Turing, Jack Good, and Ronald"
23,7407691340332834816,https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,LLM and AI Notes,Media,LLM/AI notes,"Notas vivas sobre LLM, RAG, agentes, MLOps y casos como credit decisioning/document processing.",Idea secundaria para NLP/documentos de credito; no core de PD/optimization.,LinkedIn document/deck,https://lnkd.in/dwfNbdnZ: https://lnkd.in/dwfNbdnZ,"LLM and AI Notes This is a living notebook of LLM and AI concepts, code snippets, and references collected while learning and"
24,7404429791552270336,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,Boosted Scorecards in Python,Alta,Boosted scorecards,xBooster convierte modelos GBDT/LightGBM en scorecards; tension entre interacciones profundas y explicabilidad.,Comparar CatBoost/GBDT con scorecards interpretable en tesis.,Image/carousel,SangJun Moon: https://www.linkedin.com/in/sangjun-moon/ | Paul Edwards: https://www.linkedin.com/in/paul-edwards-to/ | https://lnkd.in/dag5Kqwf: https://lnkd.in/dag5Kqwf,Boosted Scorecards in Python The boosted scorecard family is now joined by LightGBM thanks to the contribution by SangJun Moon!
25,7401530693182427137,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,Choosing the right tool for end-to-end modeling orchestration on AWS can be challenging.,Media,SageMaker pipelines,Orquestacion end-to-end con CatBoost y MLflow en SageMaker Pipelines.,Inspiracion para scripts pipeline; no necesario en local.,,https://lnkd.in/dC8RPJ3U: https://lnkd.in/dC8RPJ3U | https://medium.com/aws-in-plain-english/sagemaker-mlflow-pipelines-automating-end-to-end-ml-workloads-on-aws-ea23f1d469ea,Choosing the right tool for end-to-end modeling orchestration on AWS can be challenging. This walkthrough explores how SageMaker Pipelines can automate ML
26,7400081067224743936,https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,Credit Risk Modeling on AWS,Alta,Scoring en AWS,"Proyecto local con Docker/LocalStack para Lambda, Kinesis, DynamoDB y SageMaker en real-time scoring.",Fase API futura: patrones de scoring online.,LinkedIn document/deck,,"Credit Risk Modeling on AWS I want to thank everyone who commented on the draft of the book, I'm getting"
27,7397906690391601154,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,Deep Learning: Credit Risk and Waves of AI,Media,Deep learning en credit risk,Contextualiza neural nets/transformers frente a scorecards odds-based.,Marco conceptual; no prioridad frente a CatBoost/conformal.,LinkedIn document/deck,FICO: https://www.linkedin.com/company/fico/,"Deep Learning: Credit Risk and Waves of AI In the earlier chapters of this book, each had a ""hero"". Chapter 1"
28,7396457171279970304,https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,Open-source credit scoring tools keep improving thanks to an amazing community!,Alta,xBooster/FastWoe updates,"Herramientas open-source: interval method para XGBoost, monotonic binning, FAISS K-means y multiclass WOE.",Notebook 02: binning monotono; Notebook 03: scorecard interpretability baseline.,Image/carousel,Naeem Siddiqi: https://www.linkedin.com/in/naeem-siddiqi-9442815/ | Juan Antonio Montero de Espinosa: https://www.linkedin.com/in/juan-antonio-montero-de-espinosa-68803391/ | https://lnkd.in/dag5Kqwf: https://lnkd.in/dag5Kqwf | https://lnkd.in/dQHFHQs3: https://lnkd.in/dQHFHQs3,"Open-source credit scoring tools keep improving thanks to an amazing community! Yes, Colab in VS Code and TOON are great, but"
29,7394653161082314752,https://www.linkedin.com/feed/update/urn:li:activity:7394653161082314752/,Developing risk models on AWS can be expensive.,Media,Local AWS dev,LocalStack + SAM para workloads ML sin costos cloud.,"Referencia para despliegue local/API, no core tesis.",,LocalStack: https://www.linkedin.com/company/localstack-cloud/ | EuroPython: https://www.linkedin.com/company/europython/ | https://lnkd.in/dZv-YGxx: https://lnkd.in/dZv-YGxx | https://medium.com/aws-in-plain-english/develop-aws-ml-workloads-locally-with-localstack-and-sam-24bdc0de81aa,Developing risk models on AWS can be expensive. But theres a better way. I first heard about LocalStack at EuroPython 2023.
30,7392833273737138176,https://www.linkedin.com/feed/update/urn:li:activity:7392833273737138176/,Logistic Regression: From Maximum Likelihood to Machine Learning,Alta,Logistic regression foundations,"Historia y tecnica de likelihood, equivalencia WOE-logit, gradient descent para calibracion PD y multiclass.","Notebook 03: baseline logit, interpretabilidad y calibracion.",LinkedIn document/deck,Claude: https://www.linkedin.com/company/claude/ | ChatGPT: https://www.linkedin.com/company/chatgpt/ | Andrija Djurovic: https://www.linkedin.com/in/andrija-djurovic/ | Adrian Olszewski: https://www.linkedin.com/in/adrianolszewski/,"Logistic Regression: From Maximum Likelihood to Machine Learning What Alan Turing did for reasoning under uncertainty, Ronald Fisher did for learning"
31,7391383804583645184,https://www.linkedin.com/feed/update/urn:li:activity:7391383804583645184/,Multiclass Weight of Evidence (WOE),Alta,Multiclass WOE,"Extiende WOE a outcomes multi-clase usando likelihood ratios, util para default reasons o LGD bins.",LGD por bins/causas de default; extension a ead/lgd.,LinkedIn document/deck,Rahul Shaw: https://www.linkedin.com/in/mse16rahuls/,"Multiclass Weight of Evidence (WOE) In many risk modeling problems, we deal with two outcomes (Default vs No Default, Fraud vs"
32,7389209473522999296,https://www.linkedin.com/feed/update/urn:li:activity:7389209473522999296/,"While explainability is widely discussed, distillation receives far less attention.",Alta,SHAP distillation,Destila black-box con valores SHAP hacia regresion logistica estilo scorecard.,Explicabilidad CatBoost: modelo estudiante para stakeholders.,LinkedIn document/deck,,"While explainability is widely discussed, distillation receives far less attention. The idea is to make something (in this case, a model) simplerideally"
33,7387020037041119234,https://www.linkedin.com/feed/update/urn:li:activity:7387020037041119234/,Training a model in a notebook is no big deal.,Alta,CatBoost lifecycle,"Pipeline CatBoost + SageMaker MLflow 3.0 con tuning, batch inference y SHAP tracking.",Scripts train_pd_model.py + MLflow/DagsHub; tracking de SHAP/artefactos.,,https://lnkd.in/dYS5y8AR: https://lnkd.in/dYS5y8AR | https://medium.com/ai-in-plain-english/end-to-end-catboost-model-lifecycle-with-sagemaker-and-mlflow-b140a964733d,Training a model in a notebook is no big deal. Managing it after that is where things start to get messy. Sounds
34,7384120953489854464,https://www.linkedin.com/feed/update/urn:li:activity:7384120953489854464/,Weight of Evidence: From Bletchley Park to Credit Scoring,Alta,WOE foundations,"Linea historica Turing/Good/MacKay hasta WOE moderno, scorecards y XAI.",Marco teorico del notebook 02 y capitulo de feature engineering.,LinkedIn document/deck,Paul Edwards: https://www.linkedin.com/in/paul-edwards-to/ | Python: https://www.linkedin.com/company/learn-python-programming/,"Weight of Evidence: From Bletchley Park to Credit Scoring In 1941, Alan M. Turing turned wartime guesswork into arithmetic. He"
35,7363453428431224832,https://www.linkedin.com/feed/update/urn:li:activity:7363453428431224832/,Credit risk and fraud are naturally imbalanced problems: far fewer people default or commit fraud compared to th...,Alta,Class imbalance y calibracion,Resampling 50/50 puede romper probabilidades; se requieren correcciones/calibracion para PD reales.,Notebook 03: evitar entrenar calibracion sobre distribuciones artificiales; validar ECE.,LinkedIn document/deck,https://lnkd.in/dYcqYrAr: https://lnkd.in/dYcqYrAr | https://lnkd.in/dpCr2Ded: https://lnkd.in/dpCr2Ded,Credit risk and fraud are naturally imbalanced problems: far fewer people default or commit fraud compared to those who repay or use
36,7361290473417633792,https://www.linkedin.com/feed/update/urn:li:activity:7361290473417633792/,From statistical tables in 1938 to powering modern computing Fisher and Yates created this for statistical res...,Baja,Fisher-Yates shuffle,Randomizacion de datos; util general pero no tema credit risk directo.,Referencia lateral.,Video,,"From statistical tables in 1938 to powering modern computing Fisher and Yates created this for statistical research, but their shuffle found"
37,7358383766534316032,https://www.linkedin.com/feed/update/urn:li:activity:7358383766534316032/,"Fraud risk modeling in digital lending typically falls into two camps: binary classifiers on one end, and comple...",Media,Fraud digital lending,Fraud como decision problem con umbrales por monto y modelado de conteos temporales.,Inspiracion para time_series o fraud extension; no core PD.,Image/carousel,Compute! Paris: https://www.linkedin.com/company/compute-paris/ | https://lnkd.in/dK23jsi5: https://lnkd.in/dK23jsi5,"Fraud risk modeling in digital lending typically falls into two camps: binary classifiers on one end, and complex graph-based systems on the"
38,7356587000176533504,https://www.linkedin.com/feed/update/urn:li:activity:7356587000176533504/,What if we treated pixels like words,Baja,Visual generation,Autoregressive image generation; fuera del dominio de riesgo credito.,Excluir.,Image/carousel,https://lnkd.in/ergBHqKp: https://lnkd.in/ergBHqKp | https://lnkd.in/epurVvP8: https://lnkd.in/epurVvP8,"What if we treated pixels like words Thats the idea behind autoregressive visual generation: building an image patch by patch, just like"
39,7353684060264632320,https://www.linkedin.com/feed/update/urn:li:activity:7353684060264632320/,Robust Logistic Regression,Alta,Robust logistic regression,Logit robusta como mezcla de puntos buenos/contaminados para ruido/outliers.,Baseline robusto para PD o diagnostico de etiquetas ruidosas.,LinkedIn document/deck,,"Robust Logistic Regression Standard logistic regression can be sensitive to outliers or noisy labels, a common issue when working real-world data. Common"
40,7351513545626312704,https://www.linkedin.com/feed/update/urn:li:activity:7351513545626312704/,"Notes on Lending, Credit Risk, and Data Science",Alta,Resource collection,"Coleccion de 75+ recursos sobre lending, credit risk, ML, governance y data workflows.",Fuente primaria para bibliografia y herramientas.,LinkedIn document/deck,https://lnkd.in/drhNP6zb: https://lnkd.in/drhNP6zb,"Notes on Lending, Credit Risk, and Data Science While recent work has largely focused on applied data problems and algorithms, I've"
41,7350773655057960960,https://www.linkedin.com/feed/update/urn:li:activity:7350773655057960960/,Simulating with Markov Chain Monte Carlo,Media,MCMC/logistic regression,"Metropolis-Hastings para coeficientes logit, util para incertidumbre bayesiana.",Contraste con conformal: intervalos sin supuestos vs bayesianos.,Image/carousel,https://lnkd.in/d5x4qqY7: https://lnkd.in/d5x4qqY7 | https://matplotlib.org: https://matplotlib.org,Simulating with Markov Chain Monte Carlo Most algorithms guiding data scientists' daily work rely on gradient descent or its extensions. Logistic
42,7348984398186229761,https://www.linkedin.com/feed/update/urn:li:activity:7348984398186229761/,"When interpreting model results, people often ask: What is the recall of your model?",Alta,Precision/recall y prevalencia,Precision y F1 dependen fuertemente de prevalencia; no son universales en eventos raros.,Notebook 03: interpretar recall/precision con default rate del test.,LinkedIn document/deck,https://lnkd.in/d852UZYK: https://lnkd.in/d852UZYK,"When interpreting model results, people often ask: What is the recall of your model? Its F1 or precision scores? Taken in isolation"
43,7346840312377421826,https://www.linkedin.com/feed/update/urn:li:activity:7346840312377421826/,"Yesterday, I got officially certified for AWS Data Engineer - Associate exam by Amazon Web Services (AWS)",Baja,AWS certification,Certificacion profesional; contexto cloud general.,Excluir del nucleo.,Image/carousel,Amazon Web Services (AWS): https://www.linkedin.com/company/amazon-web-services/ | AWS Training & Certification: https://www.linkedin.com/company/aws-training-&-certification/ | Amazon SageMaker: https://www.linkedin.com/company/amazon-sagemaker/,"Yesterday, I got officially certified for AWS Data Engineer - Associate exam by Amazon Web Services (AWS) This achievement marks the"
44,7302591232625541122,https://www.linkedin.com/feed/update/urn:li:activity:7302591232625541122/,Explainability and Scorecards,Alta,Explainability and scorecards,"SHAP es aditivo como WOE pero explica predicciones, no necesariamente el mecanismo; util para scorecards y drift.",Notebook 03: usar SHAP con cautela y complementar con drift/backtesting.,LinkedIn document/deck,https://lnkd.in/dxHKBP5C: https://lnkd.in/dxHKBP5C,"Explainability and Scorecards SHAP (SHapley Additive exPlanations) values have become the go-to tool for explainability in predictive modeling, and their popularity"
45,7297638535648481280,https://www.linkedin.com/feed/update/urn:li:activity:7297638535648481280/,Classification Intervals with Pearsonify,Alta,Conformal/probability intervals,"Pearsonify busca intervalos alrededor de probabilidades para clasificacion binaria, cercano a tu interes en intervalos PD.",Notebook 04: comparar con tu ProbabilityRegressor + MAPIE y explicar por que intervalos PD importan.,LinkedIn document/deck,https://lnkd.in/d4hMpsps: https://lnkd.in/d4hMpsps,"Classification Intervals with Pearsonify Traditional conformal prediction for binary classification often provides confidence sets like {True, False}, but is that really"
46,7290400805109526529,https://www.linkedin.com/feed/update/urn:li:activity:7290400805109526529/,From WOE to Logistic Regression,Alta,WOE to logistic regression,Equivalencia univariada entre WOE y logistic regression; cambia en multivariado por optimizacion conjunta.,Notebook 02/03: justificar WOE encoding y logit baseline.,LinkedIn document/deck,,"From WOE to Logistic Regression Did you know that when performing univariate analysis of categorical data, Weight of Evidence (WOE) and"
47,7287502960530518016,https://www.linkedin.com/feed/update/urn:li:activity:7287502960530518016/,How to Make Random Forests More Compact Without Losing Accuracy?,Media,Random Forest compression,Pruning de arboles para reducir random forests sin perder accuracy; interpretabilidad/eficiencia.,Referencia si agregas RSF o RF baseline.,Image/carousel,https://lnkd.in/dWX_RXzs: https://lnkd.in/dWX_RXzs,"How to Make Random Forests More Compact Without Losing Accuracy? Random Forest is a powerful algorithm but is often computationally inefficient,"
48,7282429540482568193,https://www.linkedin.com/feed/update/urn:li:activity:7282429540482568193/,Logistic regression is a battle-tested tool for tackling high-stakes problems in data science projects where int...,Alta,Logistic confidence intervals,Intervalos de confianza para predicciones logit en Python; cuantifica incertidumbre clasica.,Contraste con conformal PD intervals en Notebook 04.,LinkedIn document/deck,,"Logistic regression is a battle-tested tool for tackling high-stakes problems in data science projects where interpretability is key. Beyond its standard functionality,"
49,7272626194091552768,https://www.linkedin.com/feed/update/urn:li:activity:7272626194091552768/,Weight of Evidence (WOE) Gradient Boosting,Alta,WoeBoost,"Gradient boosting con WOE: scorecards automaticos, binning flexible, monotonicidad e interpretabilidad.",Benchmark interpretable frente a CatBoost/LogReg.,Image/carousel,https://lnkd.in/dBuxEQTq: https://lnkd.in/dBuxEQTq | https://lnkd.in/dPYBzzYi: https://lnkd.in/dPYBzzYi | https://tr.ee/sRiUqNv49i: https://tr.ee/sRiUqNv49i | https://lnkd.in/d3G3vv5q: https://lnkd.in/d3G3vv5q | https://lnkd.in/dsbbHi-M: https://lnkd.in/dsbbHi-M | https://lnkd.in/dDgmPkhT: https://lnkd.in/dDgmPkhT | https://linktr.ee/deburky: https://linktr.ee/deburky,Weight of Evidence (WOE) Gradient Boosting GitHub repo: https://lnkd.in/dBuxEQTq WoeBoost combines the interpretability of WOE with the predictive power of
50,7259829440568836097,https://www.linkedin.com/feed/update/urn:li:activity:7259829440568836097/,Adversarial Learning with Iris,Baja,GANs,Experimento generativo no relacionado directamente con credit risk.,Excluir.,Image/carousel,https://lnkd.in/dUs2Uf6y: https://lnkd.in/dUs2Uf6y | https://lnkd.in/d7PAabw3: https://lnkd.in/d7PAabw3 | https://linktr.ee/deburky: https://linktr.ee/deburky,Adversarial Learning with Iris How can neural networks create images that look almost real Generative Adversarial Networks (GANs) make this possible by
51,7254740864336285696,https://www.linkedin.com/feed/update/urn:li:activity:7254740864336285696/,Weight of Evidence for Image Generation,Baja,WOE for image generation,Aplicacion exotica de WOE a imagenes; valor conceptual bajo para tesis.,Excluir.,Image/carousel,https://lnkd.in/dzeBYJn2: https://lnkd.in/dzeBYJn2 | https://lnkd.in/dpfBSG4B: https://lnkd.in/dpfBSG4B | https://linktr.ee/deburky: https://linktr.ee/deburky,"Weight of Evidence for Image Generation Did you know that Weight of Evidence (WOE), a technique widely used in credit scoring,"
52,7252204203853443072,https://www.linkedin.com/feed/update/urn:li:activity:7252204203853443072/,Linear Minds in a Nonlinear World,Media,Bias-variance,"Tradeoff sesgo-varianza, overfitting/underfitting y curvas de error.",Notebook 03: explicar tuning y validacion out-of-time.,LinkedIn document/deck,https://lnkd.in/dJfthBa7: https://lnkd.in/dJfthBa7 | https://linktr.ee/deburky: https://linktr.ee/deburky,Linear Minds in a Nonlinear World The key challenge of every predictive modeling project lies in finding a model that accurately
53,7247130806010187776,https://www.linkedin.com/feed/update/urn:li:activity:7247130806010187776/,Boosting Beyond Trees,Media,Boosting beyond trees,"Boosting con weak learners alternativos, redes y modelos lineales.",Contexto para GBDT/CatBoost; no necesario core.,LinkedIn document/deck,https://lnkd.in/edwQq2Rq: https://lnkd.in/edwQq2Rq | https://lnkd.in/dDgmPkhT: https://lnkd.in/dDgmPkhT | https://lnkd.in/eHgqXZPJ: https://lnkd.in/eHgqXZPJ | https://linktr.ee/deburky: https://linktr.ee/deburky,"Boosting Beyond Trees Gradient boosting has long been regarded as the ""secret sauce"" for tabular datasets. Traditionally, the algorithm relies on"
