backlog_id,source_kind,post_number,activity_id,parent_activity_id,title,relevance,theme,summary_es,post_url,capture_status,primary_asset_type,primary_text_status,primary_ocr_status,post_text_paths,document_paths,image_paths,extracted_text_paths,local_word_count_estimate,external_link_count,external_link_asset_ids,external_source_types,high_value_external_link_asset_ids,project_destination,possible_executable_or_implementable,default_decision,execution_status,next_action,post_stop_condition,claim_gate
POST-011,indexed_denis_post,11,7434266280364498944,,On Credit: Scoring Foundations in the Age of AI is Live,Alta,Libro On Credit,"Anuncio del libro con cuatro bloques: WOE, logistic regression, deep learning/AI y credit game/explainability.",https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,public_permalink_captured,linkedin_post_text_only,post_text_captured_no_media_found,not_applicable,attachments/raw/7434266280364498944/post_text.txt,,,,213,5,7434266280364498944_external_01; 7434266280364498944_external_02; 7434266280364498944_external_03; 7434266280364498944_external_04; 7434266280364498944_external_05,external_web; linkedin_profile,,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,ready_for_post_text_reading,Read public post text and resolve any external links.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-012,indexed_denis_post,12,7431246513466609664,,"Excited to share an update on my book, releasing March 1st as a color paperback!",Alta,Codigo y libro On Credit,Preview del libro y codigo/notebooks asociados.,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,public_permalink_captured,linkedin_post_text_only,post_text_captured_no_media_found,not_applicable,attachments/raw/7431246513466609664/post_text.txt,,,,97,1,7431246513466609664_external_01,github,7431246513466609664_external_01,Research archive / source discovery,"Read for source trail; implement only if it changes a claim, appendix, or reviewer response.",park,ready_for_post_text_reading,Read public post text and resolve any external links.,Stop after a promote/append/park/archive decision and blocker/evidence note are recorded.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-013,indexed_denis_post,13,7429434643583725571,,You'll often see claims that Gini score isn't suitable for imbalanced problems.,Alta,Gini en datos desbalanceados,"Defiende Gini/CAP como metrica natural en default rate bajo, ajustada por la restriccion de DR.",https://www.linkedin.com/feed/update/urn:li:activity:7429434643583725571/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7429434643583725571/post_text.txt,,attachments/raw/7429434643583725571/image_01.jpg,,174,0,,,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-014,indexed_denis_post,14,7426897722655277074,,Loss Given Default (LGD) is a key risk parameter that determines credit loss.,Alta,LGD probabilistico,Propone modelar LGD por bins cuantiles con clasificador multiclass para obtener distribucion condicional.,https://www.linkedin.com/feed/update/urn:li:activity:7426897722655277074/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7426897722655277074/post_text.txt,attachments/raw/7426897722655277074/document_01.pdf; attachments/raw/7426897722655277074/document_transcript_01.txt,,attachments/extracted/7426897722655277074_primary.txt,3262,0,,,,Book Ch07/Ch10; Paper 4 IFRS/LGD appendix candidate,Distributional LGD or multiclass-default caveat; proxy-only unless Lending Club evidence exists.,append_or_park,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when data-feasibility is decided: implementable proxy appendix, related-work note, or parked due missing LGD/default-state evidence.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-015,indexed_denis_post,15,7423998736009375745,,Whats a Gini point worth? Some thoughts on model economics,Alta,Valor economico de Gini,"Conecta Gini con outcomes de negocio bajo escenarios de apetito de riesgo fijo, volumen fijo y pricing.",https://www.linkedin.com/feed/update/urn:li:activity:7423998736009375745/,public_permalink_captured,linkedin_image_carousel,image_manual_visual_read,manual_visual_read_completed,attachments/raw/7423998736009375745/post_text.txt,,attachments/raw/7423998736009375745/image_01.jpg; attachments/raw/7423998736009375745/image_02.jpg; attachments/raw/7423998736009375745/image_03.jpg,,371,0,,,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-016,indexed_denis_post,16,7421824489165979649,,Credit Risk Modeling on AWS,Alta,MLOps credit risk en AWS,"MLflow + SageMaker para tracking, versionado y artefactos con dataset HELOC; desarrollo local con LocalStack.",https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7421824489165979649/post_text.txt,attachments/raw/7421824489165979649/document_01.pdf; attachments/raw/7421824489165979649/document_transcript_01.txt,,attachments/extracted/7421824489165979649_primary.txt,5157,5,7421824489165979649_external_01; 7421824489165979649_external_02; 7421824489165979649_external_03; 7421824489165979649_external_04; 7421824489165979649_external_05,github; linkedin_company,7421824489165979649_external_05,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,ready_for_pdf_text_reading,"Read post text, extracted PDF, transcript sidecar, and relevant external links.",Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-017,indexed_denis_post,17,7421223494132314112,,Had an amazing Sunday attending Cafe Cursor in Berlin,Media,Testing estadistico/A-B,Fisher exact test aplicado a pequenos experimentos como loan take-up rates.,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7421223494132314112/post_text.txt,,attachments/raw/7421223494132314112/image_01.jpg; attachments/raw/7421223494132314112/image_02.jpg; attachments/raw/7421223494132314112/image_03.jpg; attachments/raw/7421223494132314112/image_04.jpg,,130,1,7421223494132314112_external_01,linkedin_company,,Research archive / source discovery,"Read for source trail; implement only if it changes a claim, appendix, or reviewer response.",park,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop after a promote/append/park/archive decision and blocker/evidence note are recorded.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-018,indexed_denis_post,18,7419287581689008128,,Credit Risk Modeling on AWS,Alta,AWS/credit risk guide,"Capitulo de guia Credit Risk Modeling on AWS, probablemente complementario a MLflow/SageMaker.",https://www.linkedin.com/feed/update/urn:li:activity:7419287581689008128/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7419287581689008128/post_text.txt,attachments/raw/7419287581689008128/document_01.pdf; attachments/raw/7419287581689008128/document_transcript_01.txt,,attachments/extracted/7419287581689008128_primary.txt,9416,1,7419287581689008128_external_01,github,7419287581689008128_external_01,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,ready_for_pdf_text_reading,"Read post text, extracted PDF, transcript sidecar, and relevant external links.",Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-019,indexed_denis_post,19,7417475730277670912,,Milk or tea first?,Media,Fisher exact test,P-values y prueba exacta de Fisher para muestras pequenas; ejemplo adaptable a loan take-up.,https://www.linkedin.com/feed/update/urn:li:activity:7417475730277670912/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7417475730277670912/post_text.txt,,attachments/raw/7417475730277670912/image_01.jpg; attachments/raw/7417475730277670912/image_02.jpg,,206,0,,,,Research archive / source discovery,"Read for source trail; implement only if it changes a claim, appendix, or reviewer response.",park,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop after a promote/append/park/archive decision and blocker/evidence note are recorded.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-020,indexed_denis_post,20,7416750932140552192,,"There are plenty of Python data science tools, but very few are built specifically for credit risk modeling.",Alta,FastWoe,"Paquete Python para WOE con incertidumbre, Somers D/Gini, CAP y tablas interpretables.",https://www.linkedin.com/feed/update/urn:li:activity:7416750932140552192/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7416750932140552192/post_text.txt,attachments/raw/7416750932140552192/document_01.pdf; attachments/raw/7416750932140552192/document_transcript_01.txt,,attachments/extracted/7416750932140552192_primary.txt,1107,1,7416750932140552192_external_01,github,7416750932140552192_external_01,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-021,indexed_denis_post,21,7413851823381598208,,Credit Risk Modeling on AWS,Alta,Credit Risk Modeling on AWS,"Guia practica con Docker, LocalStack y SageMaker para scoring y despliegue sin costo cloud.",https://www.linkedin.com/feed/update/urn:li:activity:7413851823381598208/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7413851823381598208/post_text.txt,,attachments/raw/7413851823381598208/image_01.jpg,,131,4,7413851823381598208_external_01; 7413851823381598208_external_02; 7413851823381598208_external_03; 7413851823381598208_external_04,github; linkedin_company,7413851823381598208_external_04,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-022,indexed_denis_post,22,7410227928887783424,,The Credit Game: Machine Learning and Explainability,Alta,SHAP y scorecards,"Capitulo sobre Breiman, ensembles, TreeSHAP, SHAP scorecards y distillation.",https://www.linkedin.com/feed/update/urn:li:activity:7410227928887783424/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7410227928887783424/post_text.txt,attachments/raw/7410227928887783424/document_01.pdf; attachments/raw/7410227928887783424/document_transcript_01.txt,,attachments/extracted/7410227928887783424_primary.txt,21505,0,,,,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,p1_analysis_memo_completed,Verify external/canonical sources before manuscript promotion.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-023,indexed_denis_post,23,7407691340332834816,,LLM and AI Notes,Media,LLM/AI notes,"Notas vivas sobre LLM, RAG, agentes, MLOps y casos como credit decisioning/document processing.",https://www.linkedin.com/feed/update/urn:li:activity:7407691340332834816/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7407691340332834816/post_text.txt,attachments/raw/7407691340332834816/document_01.pdf; attachments/raw/7407691340332834816/document_transcript_01.txt,,attachments/extracted/7407691340332834816_primary.txt,7882,1,7407691340332834816_external_01,external_web,,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,ready_for_pdf_text_reading,"Read post text, extracted PDF, transcript sidecar, and relevant external links.",Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-024,indexed_denis_post,24,7404429791552270336,,Boosted Scorecards in Python,Alta,Boosted scorecards,xBooster convierte modelos GBDT/LightGBM en scorecards; tension entre interacciones profundas y explicabilidad.,https://www.linkedin.com/feed/update/urn:li:activity:7404429791552270336/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7404429791552270336/post_text.txt,,attachments/raw/7404429791552270336/image_01.jpg,,77,3,7404429791552270336_external_01; 7404429791552270336_external_02; 7404429791552270336_external_03,github; linkedin_profile,7404429791552270336_external_03,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-025,indexed_denis_post,25,7401530693182427137,,Choosing the right tool for end-to-end modeling orchestration on AWS can be challenging.,Media,SageMaker pipelines,Orquestacion end-to-end con CatBoost y MLflow en SageMaker Pipelines.,https://www.linkedin.com/feed/update/urn:li:activity:7401530693182427137/,public_permalink_captured,linkedin_post_text_only,post_text_captured_no_media_found,not_applicable,attachments/raw/7401530693182427137/post_text.txt,,,,60,2,7401530693182427137_external_01; 7401530693182427137_external_02,blog_medium; external_web,,Book Ch06; Paper 4 metric governance; Paper Estrella reviewer-defense language,"Metric-governance text, calibration caveat, or diagnostic table/prototype.",append,ready_for_post_text_reading,Read public post text and resolve any external links.,"Stop when discrimination/calibration/economic metric implication is classified as promote, append, park, or archive and no LinkedIn-only claim remains unlabeled.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-026,indexed_denis_post,26,7400081067224743936,,Credit Risk Modeling on AWS,Alta,Scoring en AWS,"Proyecto local con Docker/LocalStack para Lambda, Kinesis, DynamoDB y SageMaker en real-time scoring.",https://www.linkedin.com/feed/update/urn:li:activity:7400081067224743936/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7400081067224743936/post_text.txt,attachments/raw/7400081067224743936/document_01.pdf; attachments/raw/7400081067224743936/document_transcript_01.txt,,attachments/extracted/7400081067224743936_primary.txt,2811,0,,,,Book Ch10/Ch14/Ch19; implementation companion,MLOps/source-governance checklist or reproducibility appendix; not a core empirical claim.,append,ready_for_pdf_text_reading,"Read post text, extracted PDF, transcript sidecar, and relevant external links.",Stop when implementation relevance is mapped to book infrastructure/governance text or archived as tool-context only.,No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-027,indexed_denis_post,27,7397906690391601154,,Deep Learning: Credit Risk and Waves of AI,Media,Deep learning en credit risk,Contextualiza neural nets/transformers frente a scorecards odds-based.,https://www.linkedin.com/feed/update/urn:li:activity:7397906690391601154/,public_permalink_captured,linkedin_document_pdf,pdf_text_extracted_pdftotext,not_needed_pdf_text_layer,attachments/raw/7397906690391601154/post_text.txt,attachments/raw/7397906690391601154/document_01.pdf; attachments/raw/7397906690391601154/document_transcript_01.txt,,attachments/extracted/7397906690391601154_primary.txt,14964,1,7397906690391601154_external_01,linkedin_company,,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,ready_for_pdf_text_reading,"Read post text, extracted PDF, transcript sidecar, and relevant external links.","Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
POST-028,indexed_denis_post,28,7396457171279970304,,Open-source credit scoring tools keep improving thanks to an amazing community!,Alta,xBooster/FastWoe updates,"Herramientas open-source: interval method para XGBoost, monotonic binning, FAISS K-means y multiclass WOE.",https://www.linkedin.com/feed/update/urn:li:activity:7396457171279970304/,public_permalink_captured,linkedin_image_carousel,image_ocr_attempted,ocr_tool_missing,attachments/raw/7396457171279970304/post_text.txt,,attachments/raw/7396457171279970304/image_01.jpg; attachments/raw/7396457171279970304/image_02.jpg,,191,4,7396457171279970304_external_01; 7396457171279970304_external_02; 7396457171279970304_external_03; 7396457171279970304_external_04,github; linkedin_profile,7396457171279970304_external_03; 7396457171279970304_external_04,Book Ch05/Ch06; Paper 4 appendix only if experiment-ready,"WOE binning/recalibration diagnostic, scorecard comparison, or interpretable-ML sidebar.",append_or_prototype,blocked_pending_image_ocr_or_manual_read,Run OCR/manual visual reading before claim use.,"Stop when the WOE/scorecard idea is either mapped to an existing chapter note or has a bounded experiment spec with data, metric, and rejection rule.",No manuscript/book claim can be promoted from LinkedIn alone; attached/canonical evidence must be labeled first.
